Year,Month,Day,Hour,BEBE
2023,2,3,1,0.713542325
2023,2,3,2,0.711729675
2023,2,3,3,0.712203925
2023,2,3,4,0.71184465
2023,2,3,5,0.712957775
2023,2,3,6,0.712085175
2023,2,3,7,0.712768775
2023,2,3,8,0.712532975
2023,2,3,9,0.710962975
2023,2,3,10,0.713030225
2023,2,3,11,0.711978
2023,2,3,12,0.711776475
2023,2,3,13,0.710972275
2023,2,3,14,0.710781125
2023,2,3,15,0.711989075
2023,2,3,16,0.7117789
2023,2,3,17,0.7103651
2023,2,3,18,0.711324025
2023,2,3,19,0.71110485
2023,2,3,20,0.7111075
2023,2,3,21,0.712136125
2023,2,3,22,0.7119806
2023,2,3,23,0.710262975
2023,2,4,0,0.7111259
2023,2,4,1,0.710652175
2023,2,4,2,0.711760025
2023,2,4,3,0.7094615
2023,2,4,4,0.5968285
2023,2,4,5,0.662622725
2023,2,4,6,0.518347675
2023,2,4,7,0.46959505
2023,2,4,8,0.500100325
2023,2,4,9,0.432311675
2023,2,4,10,0.605534025
2023,2,4,11,0.357804125
2023,2,4,12,0.556191025
2023,2,4,13,0.394590875
2023,2,4,14,0.492489025
2023,2,4,15,0.5109579
2023,2,4,16,0.358769975
2023,2,4,17,0.601127375
2023,2,4,18,0.603892
2023,2,4,19,0.002611033
2023,2,4,20,0
2023,2,4,21,0
2023,2,4,22,0
2023,2,4,23,0
2023,2,5,0,0
2023,2,5,1,0
2023,2,5,2,0
2023,2,5,3,0
2023,2,5,4,0
2023,2,5,5,0
2023,2,5,6,0
2023,2,5,7,0
2023,2,5,8,0
2023,2,5,9,0
2023,2,5,10,0
2023,2,5,11,0
2023,2,5,12,0
2023,2,5,13,0
2023,2,5,14,0
2023,2,5,15,0
2023,2,5,16,0
2023,2,5,17,0
2023,2,5,18,0
2023,2,5,19,0
2023,2,5,20,0
2023,2,5,21,0
2023,2,5,22,0
2023,2,5,23,0
2023,2,6,0,0
2023,2,6,1,0
2023,2,6,2,0
2023,2,6,3,0
2023,2,6,4,0
2023,2,6,5,0
2023,2,6,6,0
2023,2,6,7,0
2023,2,6,8,0
2023,2,6,9,0
2023,2,6,10,0
2023,2,6,11,0
2023,2,6,12,0.24478165
2023,2,6,13,0.71201925
2023,2,6,14,0.712945575
2023,2,6,15,0.712078875
2023,2,6,16,0.712765625
2023,2,6,17,0.712266375
2023,2,6,18,0.713364225
2023,2,6,19,0.711103325
2023,2,6,20,0.713095575
2023,2,6,21,0.7121995
2023,2,6,22,0.71167
2023,2,6,23,0.712296125
2023,2,7,0,0.711481225
2023,2,7,1,0.712085125
2023,2,7,2,0.712243975
2023,2,7,3,0.71071
2023,2,7,4,0.711001725
2023,2,7,5,0.712003
2023,2,7,6,0.7114471
2023,2,7,7,0.711979875
2023,2,7,8,0.71122885
2023,2,7,9,0.7121095
2023,2,7,10,0.7107232
2023,2,7,11,0.71193815
2023,2,7,12,0.711824175
2023,2,7,13,0.710733825
2023,2,7,14,0.7126497
2023,2,7,15,0.711525
2023,2,7,16,0.711672325
2023,2,7,17,0.7108432
